loss,grad_norm,learning_rate,epoch,step,seed,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5615,3.420236110687256,4.530651340996169e-05,0.28735632183908044,50,Seed 1,,,,,,,,,,,,,,
0.474,10.955214500427246,4.0517241379310344e-05,0.5747126436781609,100,Seed 1,,,,,,,,,,,,,,
0.4125,8.13575267791748,3.5727969348659004e-05,0.8620689655172413,150,Seed 1,,,,,,,,,,,,,,
,,,1.0,174,Seed 1,0.41309911012649536,0.8263988522238164,0.7816901408450704,0.5522388059701493,0.6472303206997084,"[[465, 31], [90, 111]]",2.2142,314.781,19.871,,,,,
0.3485,3.068202018737793,3.0938697318007665e-05,1.1494252873563218,200,Seed 1,,,,,,,,,,,,,,
0.2869,3.4177069664001465,2.6149425287356323e-05,1.4367816091954024,250,Seed 1,,,,,,,,,,,,,,
0.2857,1.945077896118164,2.136015325670498e-05,1.7241379310344827,300,Seed 1,,,,,,,,,,,,,,
,,,2.0,348,Seed 1,0.49672195315361023,0.8134863701578192,0.7290322580645161,0.5621890547263682,0.6348314606741573,"[[454, 42], [88, 113]]",2.2255,313.187,19.771,,,,,
0.2329,1.003569483757019,1.657088122605364e-05,2.0114942528735633,350,Seed 1,,,,,,,,,,,,,,
0.1125,6.306875228881836,1.1781609195402299e-05,2.2988505747126435,400,Seed 1,,,,,,,,,,,,,,
0.1445,0.26643839478492737,6.992337164750958e-06,2.586206896551724,450,Seed 1,,,,,,,,,,,,,,
0.1572,1.2367058992385864,2.2030651340996167e-06,2.873563218390805,500,Seed 1,,,,,,,,,,,,,,
,,,3.0,522,Seed 1,0.6786510348320007,0.8235294117647058,0.6989795918367347,0.681592039800995,0.690176322418136,"[[437, 59], [64, 137]]",2.2272,312.946,19.756,,,,,
,,,3.0,522,Seed 1,,,,,,,,,,89.4498,93.371,5.836,276591928393728.0,0.2915973341327974
0.5504,5.319622993469238,4.530651340996169e-05,0.28735632183908044,50,Seed 2,,,,,,,,,,,,,,
0.492,5.55523157119751,4.0517241379310344e-05,0.5747126436781609,100,Seed 2,,,,,,,,,,,,,,
0.4643,6.145506381988525,3.5727969348659004e-05,0.8620689655172413,150,Seed 2,,,,,,,,,,,,,,
,,,1.0,174,Seed 2,0.4102941155433655,0.8263988522238164,0.7294117647058823,0.6231155778894473,0.6720867208672087,"[[452, 46], [75, 124]]",2.2062,315.921,19.943,,,,,
0.3476,8.78978157043457,3.0938697318007665e-05,1.1494252873563218,200,Seed 2,,,,,,,,,,,,,,
0.2745,5.6289381980896,2.6149425287356323e-05,1.4367816091954024,250,Seed 2,,,,,,,,,,,,,,
0.2846,8.996355056762695,2.136015325670498e-05,1.7241379310344827,300,Seed 2,,,,,,,,,,,,,,
,,,2.0,348,Seed 2,0.4569689929485321,0.8192252510760402,0.6910994764397905,0.6633165829145728,0.676923076923077,"[[439, 59], [67, 132]]",2.1779,320.037,20.203,,,,,
0.2666,1.3063620328903198,1.657088122605364e-05,2.0114942528735633,350,Seed 2,,,,,,,,,,,,,,
0.1197,5.622780799865723,1.1781609195402299e-05,2.2988505747126435,400,Seed 2,,,,,,,,,,,,,,
0.1282,5.965491771697998,6.992337164750958e-06,2.586206896551724,450,Seed 2,,,,,,,,,,,,,,
0.1162,6.2154622077941895,2.2030651340996167e-06,2.873563218390805,500,Seed 2,,,,,,,,,,,,,,
,,,3.0,522,Seed 2,0.6932443380355835,0.8163558106169297,0.6858638743455497,0.6582914572864321,0.6717948717948717,"[[438, 60], [68, 131]]",2.2111,315.221,19.899,,,,,
,,,3.0,522,Seed 2,,,,,,,,,,89.3642,93.46,5.841,276591928393728.0,0.29711806728465345
